Date,AAPL,AMZN,GOOGL,FB,NFLX,Total,SPY
11/16/2017,883771,548028,728466,521529,84603.2,2766397.2,23129340
12/31/2016,608960,356313,547815,332034,53128.2,1898250.2,20222191.7
12/31/2015,583613,316832,534764,296606,48884.6,1780699.6,18774069.5
12/31/2014,642936,143694,360940,216818,20638.7,1385026.7,19331041
12/31/2013,500739,182540,377956,138535,21817,1221587,17482338.6
12/31/2012,499614,113634,232441,62796.6,5143,913628.6,13499871.5
12/31/2011,376411,78717.9,209199,,3836,668163.9,11982408.4
12/31/2010,295887,80790.7,189937,,9181.6,575796.3,11697568
12/31/2009,190786,58244.9,196700,,3010.3,448741.2,10287065
12/31/2008,75870.6,21990.5,96834.1,,1753.6,196448.8,8129635.5
12/31/2007,173427,38462,216323,,1751,429963,13175588
