Date,Open,High,Low,Close,Adj Close,Volume
2007,26.65,26.719999,19.76,23.25,19.806585,107540700
2008,15.5,16.450001,14.3,14.68,12.655296,140852200
2009,23.139999,23.299999,20.860001,20.959999,18.37582,299589100
2010,25.379999,26.52,25.379999,25.99,23.104778,225458000
2011,25.870001,27.200001,25.66,27.030001,24.405512,187129700
2012,29.620001,29.889999,29.1,29.4,26.99892,182801500
2013,35.619999,36.049999,34.189999,34.82,32.5858,169328000
2014,41.610001,41.709999,39.66,39.900002,38.032486,213240100
2015,42.060001,42.5,38.029999,41.240002,40.027054,340654200
2016,48.669998,50.830002,48.5,50.080002,49.510777,156436500
2017,63.450001,64.459999,62.110001,64.07,64.07,126070400
